round,global_val_dice,global_val_iou,global_val_pixel_acc,train_dice,train_iou,round_time_sec
1,0.038917,0.020364,0.884700,0.050541,0.026936,
2,0.019810,0.010127,0.919867,0.027751,0.014344,
3,0.007500,0.003784,0.933282,0.012365,0.006278,
4,0.002150,0.001078,0.937759,0.003869,0.001945,
5,0.000472,0.000236,0.939029,0.000891,0.000446,
6,0.006086,0.006043,0.939346,0.001439,0.001345,
7,0.219018,0.219009,0.939416,0.091531,0.091516,
8,0.442002,0.442001,0.939428,0.312753,0.312752,
9,0.491000,0.491000,0.939430,0.459250,0.459250,
10,0.500000,0.500000,0.939430,0.492250,0.492250,
11,0.500000,0.500000,0.939430,0.499250,0.499250,
12,0.500000,0.500000,0.939430,0.500000,0.500000,
13,0.500000,0.500000,0.939430,0.500000,0.500000,
14,0.500000,0.500000,0.939430,0.500000,0.500000,
15,0.500000,0.500000,0.939430,0.500000,0.500000,
16,0.500000,0.500000,0.939430,0.500000,0.500000,
17,0.500000,0.500000,0.939430,0.500000,0.500000,
18,0.500000,0.500000,0.939430,0.500000,0.500000,
19,0.500000,0.500000,0.939430,0.500000,0.500000,
20,0.500000,0.500000,0.939430,0.500000,0.500000,
