round,global_val_dice,global_val_iou,global_val_pixel_acc,train_dice,train_iou,round_time_sec
1,0.545421,0.481799,0.941467,0.258805,0.198326,
2,0.594711,0.531319,0.947899,0.581844,0.515313,
3,0.625702,0.565535,0.948318,0.608562,0.542291,
4,0.608376,0.545348,0.944310,0.610065,0.543828,
5,0.578734,0.513167,0.945762,0.614355,0.548556,
6,0.632874,0.573680,0.953016,0.641738,0.577262,
7,0.632071,0.571343,0.952411,0.655011,0.590262,
8,0.648282,0.591974,0.954912,0.662335,0.598506,
9,0.623511,0.562687,0.952956,0.657211,0.594074,
10,0.635249,0.578232,0.953484,0.666871,0.602486,
11,0.642385,0.584701,0.953890,0.672036,0.608731,
12,0.638699,0.578172,0.951420,0.681893,0.618816,
13,0.619738,0.559463,0.951669,0.684640,0.621590,
14,0.633251,0.575492,0.951777,0.683004,0.619949,
15,0.636804,0.580162,0.953788,0.689076,0.625407,
16,0.631149,0.573256,0.952092,0.699415,0.636727,
17,0.630952,0.571955,0.952910,0.692665,0.629066,
18,0.626828,0.568445,0.954075,0.718662,0.655828,
19,0.623262,0.568255,0.952202,0.707483,0.645165,
20,0.633433,0.576411,0.951959,0.715729,0.653389,
