round,global_val_dice,global_val_iou,global_val_pixel_acc,train_dice,train_iou,round_time_sec
1,0.338726,0.273129,0.945031,0.207986,0.149584,
2,0.588428,0.525651,0.948964,0.528994,0.461356,
3,0.529800,0.461684,0.941885,0.580033,0.513762,
4,0.602384,0.539313,0.949441,0.578662,0.512025,
5,0.602528,0.539640,0.951254,0.591373,0.525177,
6,0.606178,0.544976,0.952962,0.603382,0.537335,
7,0.621665,0.563751,0.954650,0.608484,0.543817,
8,0.617350,0.556686,0.951730,0.617817,0.553197,
9,0.622694,0.562697,0.953045,0.639596,0.574983,
10,0.618313,0.559232,0.954077,0.645770,0.581285,
11,0.549740,0.482955,0.948420,0.647723,0.582929,
12,0.621316,0.559904,0.954316,0.646050,0.581459,
13,0.628265,0.568279,0.954622,0.652275,0.587978,
14,0.631260,0.571548,0.953581,0.654000,0.589359,
15,0.632060,0.573479,0.955415,0.660081,0.596136,
16,0.625205,0.567127,0.955238,0.648928,0.584889,
17,0.640982,0.582168,0.953232,0.665085,0.601333,
18,0.646109,0.591800,0.955969,0.663048,0.599865,
19,0.642349,0.588242,0.956014,0.671737,0.607956,
20,0.644891,0.585601,0.954063,0.669145,0.605502,
