epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_pixel_acc,val_pixel_acc,epoch_time_sec
1,1.695541,1.717056,0.371154,0.464703,0.276308,0.395088,0.882588,0.921419,523.71
2,1.651251,1.698685,0.528707,0.468443,0.426556,0.399191,0.922175,0.928698,425.65
3,1.637025,1.690846,0.541290,0.436223,0.439486,0.365504,0.925378,0.925862,426.29
4,1.625113,1.678886,0.553767,0.471533,0.450612,0.402321,0.927219,0.932675,428.86
5,1.613859,1.668724,0.564383,0.565636,0.461994,0.499431,0.930664,0.935146,429.68
6,1.604091,1.662328,0.572818,0.508460,0.470639,0.439066,0.932621,0.934512,428.92
7,1.595406,1.649634,0.574544,0.584277,0.472672,0.519137,0.937774,0.944674,431.12
8,1.586573,1.642889,0.601650,0.572635,0.503043,0.505758,0.942235,0.948742,428.85
9,1.579340,1.636546,0.617944,0.582093,0.518756,0.517292,0.944136,0.942669,426.51
10,1.572256,1.631848,0.627865,0.494619,0.528609,0.425865,0.946297,0.944466,427.47
11,1.566627,1.625674,0.631044,0.605681,0.533063,0.542181,0.947515,0.944897,428.59
12,1.560418,1.620135,0.643165,0.589255,0.546293,0.524498,0.950768,0.948572,432.93
13,1.556246,1.619671,0.648953,0.586918,0.550971,0.520825,0.950321,0.947490,571.82
14,1.551217,1.615601,0.654492,0.577034,0.559394,0.511375,0.953171,0.942407,626.75
15,1.547129,1.615315,0.665345,0.559619,0.571025,0.495351,0.954135,0.938037,456.72
