epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_pixel_acc,val_pixel_acc,epoch_time_sec
1,1.866380,1.775008,0.082545,0.186769,0.056425,0.138597,0.853758,0.939468,436.13
2,1.829883,1.761186,0.495240,0.607436,0.465591,0.549872,0.963872,0.944928,421.61
3,1.816545,1.750666,0.683612,0.613567,0.655605,0.562902,0.968226,0.943199,423.52
4,1.804078,1.740588,0.711556,0.623811,0.683669,0.566921,0.968858,0.939651,429.56
5,1.792543,1.727880,0.673719,0.617449,0.645305,0.566953,0.967631,0.949375,430.02
6,1.780712,1.716311,0.707546,0.583926,0.678682,0.523226,0.969099,0.944279,431.12
7,1.770172,1.707089,0.698411,0.611083,0.669057,0.552628,0.970064,0.945289,429.11
8,1.760207,1.699012,0.722397,0.631818,0.693866,0.582173,0.970629,0.948534,426.84
9,1.750440,1.688325,0.747468,0.612884,0.718781,0.552948,0.972873,0.942723,422.16
10,1.742043,1.680787,0.710810,0.631403,0.681863,0.583007,0.972634,0.949599,422.39
11,1.733584,1.673147,0.748089,0.648000,0.719499,0.595915,0.975068,0.950471,426.95
12,1.725913,1.668063,0.773457,0.621119,0.745965,0.576519,0.975969,0.950675,432.93
13,1.717926,1.664302,0.776692,0.599189,0.747916,0.556366,0.978094,0.946493,438.32
14,1.711222,1.655288,0.798502,0.629228,0.771818,0.578361,0.979518,0.950134,441.07
15,1.705809,1.649173,0.767360,0.617220,0.738537,0.569934,0.977669,0.953040,442.50
