epoch,phase,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_pixel_acc,val_pixel_acc,learning_rate,epoch_time_sec,early_stop_counter
1,A,1.737712,1.697517,0.366837,0.557781,0.303371,0.492498,0.919166,0.946933,1.00e-04,239.11,0
2,A,1.695295,1.677193,0.528098,0.566975,0.461767,0.500900,0.941671,0.943096,9.89e-05,206.94,0
3,A,1.675270,1.662470,0.531396,0.568557,0.465310,0.501995,0.943489,0.948420,9.57e-05,199.66,0
4,A,1.659756,1.649304,0.566381,0.588004,0.501958,0.522141,0.949019,0.948346,9.05e-05,207.97,0
5,A,1.647528,1.635651,0.574270,0.619100,0.509759,0.560766,0.950506,0.953588,8.36e-05,133.44,0
6,A,1.637762,1.630304,0.589237,0.579985,0.526354,0.513288,0.952421,0.949326,7.52e-05,121.44,0
7,A,1.630417,1.624570,0.598966,0.614729,0.536169,0.553084,0.953176,0.952537,6.58e-05,137.34,1
8,A,1.625049,1.618236,0.599233,0.621981,0.536221,0.560382,0.953170,0.951872,5.57e-05,106.09,2
9,A,1.620857,1.615746,0.601392,0.593798,0.537594,0.528716,0.953473,0.951508,4.53e-05,109.21,0
10,A,1.617154,1.613824,0.611603,0.596554,0.548118,0.530714,0.954809,0.951088,3.52e-05,114.21,1
11,A,1.614560,1.611652,0.620566,0.623365,0.556540,0.560899,0.955587,0.951586,2.58e-05,112.50,2
12,A,1.613053,1.610587,0.623978,0.618751,0.560844,0.556220,0.955857,0.952610,1.74e-05,111.78,0
13,A,1.611764,1.609822,0.627788,0.617174,0.564063,0.554374,0.956343,0.952955,1.05e-05,113.79,1
14,A,1.611213,1.609503,0.625288,0.617227,0.561291,0.554348,0.956474,0.952593,5.28e-06,110.03,2
15,B,1.610626,1.608780,0.628910,0.619494,0.564841,0.556582,0.956169,0.952653,1.00e-05,107.63,3
16,B,1.609442,1.607611,0.623073,0.619689,0.559771,0.557150,0.957137,0.952801,1.00e-05,99.70,4
17,B,1.608484,1.607671,0.630474,0.617128,0.566310,0.554433,0.957206,0.951845,9.99e-06,102.92,5
18,B,1.607609,1.606058,0.630497,0.617533,0.566653,0.554015,0.957392,0.951904,9.97e-06,102.01,6
19,B,1.606804,1.605322,0.622544,0.621657,0.559096,0.559633,0.957551,0.952680,9.95e-06,101.81,7
20,B,1.605936,1.604746,0.631795,0.617635,0.567666,0.554909,0.957742,0.952982,9.92e-06,100.36,8
21,B,1.605101,1.604513,0.630308,0.615997,0.565851,0.552786,0.957930,0.952513,9.88e-06,100.30,9
22,B,1.604089,1.604254,0.632187,0.612563,0.567820,0.547209,0.958448,0.951033,9.84e-06,100.00,10
23,B,1.602928,1.603411,0.640102,0.620778,0.575754,0.559915,0.959339,0.952549,9.79e-06,99.32,11
24,B,1.602220,1.602798,0.639474,0.602537,0.575695,0.537595,0.959391,0.951590,9.73e-06,99.91,12
25,B,1.601458,1.602518,0.646154,0.615520,0.581929,0.553655,0.959446,0.952759,9.67e-06,99.55,13
26,B,1.600806,1.601684,0.642170,0.612138,0.577608,0.548629,0.959809,0.952209,9.60e-06,101.96,14
