epoch,phase,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_pixel_acc,val_pixel_acc,learning_rate,epoch_time_sec
1,A,1.736901,1.699495,0.382253,0.536139,0.319542,0.470328,0.921232,0.942996,1.00e-04,76.47
2,A,1.694913,1.680903,0.537404,0.545542,0.471650,0.478907,0.943059,0.942271,1.00e-04,77.09
3,A,1.674417,1.663915,0.542174,0.587899,0.475967,0.525431,0.944043,0.949382,1.00e-04,79.22
4,A,1.657030,1.645473,0.561642,0.578415,0.496290,0.515003,0.948925,0.950840,1.00e-04,79.55
5,A,1.642690,1.632704,0.586107,0.600575,0.521725,0.538559,0.951100,0.951491,1.00e-04,79.14
6,A,1.631618,1.623431,0.601648,0.616036,0.538192,0.554062,0.952690,0.951392,1.00e-04,79.40
7,A,1.622926,1.616136,0.610456,0.587922,0.546831,0.522378,0.953011,0.950556,1.00e-04,79.61
8,A,1.615862,1.610432,0.606261,0.598749,0.542538,0.534479,0.953914,0.951224,1.00e-04,79.25
9,A,1.610023,1.605697,0.618794,0.586258,0.555123,0.519992,0.954466,0.948022,1.00e-04,78.75
10,B,1.605730,1.604019,0.630967,0.615551,0.566924,0.552402,0.956214,0.952634,1.00e-05,80.36
11,B,1.604807,1.603367,0.633189,0.619002,0.569410,0.556589,0.957054,0.952428,1.00e-05,80.03
12,B,1.603604,1.603178,0.640488,0.610437,0.576872,0.547328,0.957660,0.951924,1.00e-05,80.63
13,B,1.602807,1.602286,0.634280,0.610968,0.570921,0.548201,0.958056,0.952087,1.00e-05,83.81
14,B,1.601844,1.602239,0.639319,0.608518,0.575508,0.546210,0.958263,0.951385,1.00e-05,82.65
15,B,1.601033,1.601629,0.645098,0.614100,0.580842,0.551738,0.958804,0.951858,1.00e-05,138.91
16,B,1.600290,1.600807,0.641377,0.623941,0.577651,0.562581,0.959011,0.952505,1.00e-05,171.47
17,B,1.599265,1.600501,0.648105,0.614110,0.584214,0.552963,0.959652,0.952689,1.00e-05,96.45
18,B,1.598547,1.599597,0.651219,0.617388,0.587506,0.555824,0.959797,0.952783,1.00e-05,81.64
19,B,1.597985,1.599494,0.648983,0.618412,0.584566,0.556457,0.959708,0.952483,1.00e-05,83.31
20,B,1.597063,1.599064,0.655593,0.604799,0.591887,0.542746,0.960467,0.951558,1.00e-05,82.55
21,B,1.596367,1.598613,0.653915,0.580478,0.590030,0.515960,0.960633,0.950915,1.00e-05,82.28
22,B,1.595713,1.598009,0.652989,0.594494,0.589215,0.532464,0.961023,0.952300,1.00e-05,82.46
23,B,1.595068,1.598196,0.657235,0.600000,0.592811,0.538355,0.961272,0.951676,5.00e-06,81.90
24,B,1.594625,1.597287,0.653885,0.604925,0.590270,0.542411,0.961870,0.952398,5.00e-06,82.27
25,B,1.594184,1.597434,0.657918,0.599817,0.595191,0.537562,0.962244,0.951964,5.00e-06,82.07
26,B,1.594160,1.597507,0.653735,0.600896,0.590038,0.538756,0.961574,0.951534,5.00e-06,81.94
